,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,vehicle_age
496,321,44,IL,500/1000,2000,1344.56,6000000,MALE,Associate,machine-op-inspct,hiking,husband,0,-39100,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Northbend,7,1,NO,1,2,NO,4680,520,0,4160,Accura,MDX,0,19
497,0,32,OH,500/1000,1000,1377.04,0,MALE,College,tech-support,base-jumping,wife,61400,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Springfield,6,4,NO,1,1,NO,39720,6620,6620,26480,Accura,MDX,0,16
498,405,58,IL,250/500,500,1237.88,0,MALE,MD,exec-managerial,exercise,not-in-family,0,-46900,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Arlington,11,1,NO,0,0,NO,63580,5780,5780,52020,Mercedes,ML350,1,21
499,304,49,IN,100/300,1000,1525.86,0,FEMALE,PhD,craft-repair,camping,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,2,1,YES,1,1,YES,73370,13340,6670,53360,Saab,95,0,5
500,1,29,OH,500/1000,500,854.58,0,FEMALE,JD,craft-repair,paintball,other-relative,52200,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,15,1,NO,2,3,YES,86790,7890,23670,55230,Honda,CRV,0,15
501,26,39,IN,250/500,1000,770.76,0,MALE,Masters,tech-support,sleeping,husband,0,-53700,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Columbus,0,1,NO,0,2,NO,49800,9960,4980,34860,Mercedes,ML350,0,3
502,202,38,IL,100/300,2000,1132.74,0,FEMALE,Associate,armed-forces,exercise,husband,0,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,1,YES,1,1,NO,77440,7040,14080,56320,Nissan,Ultima,0,13
503,289,48,IL,500/1000,500,1173.37,8000000,FEMALE,PhD,handlers-cleaners,board-games,own-child,0,-42700,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,1,1,NO,1,0,NO,42900,8580,0,34320,Accura,TL,0,19
504,61,26,OH,100/300,2000,1188.28,6000000,FEMALE,JD,farming-fishing,skydiving,wife,0,-53800,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,16,2,YES,1,0,NO,53820,11960,5980,35880,Ford,F150,1,3
505,334,46,IL,100/300,1000,876.88,6000000,MALE,MD,sales,reading,other-relative,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,2,1,NO,2,1,NO,57330,12740,6370,38220,Jeep,Grand Cherokee,0,20
506,12,24,IL,500/1000,1000,1143.95,0,FEMALE,PhD,tech-support,paintball,other-relative,51400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,13,3,NO,2,1,NO,53370,5930,5930,41510,Nissan,Ultima,0,7
507,86,29,IL,100/300,2000,1409.06,0,MALE,High School,prof-specialty,yachting,husband,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Northbrook,0,1,NO,2,2,YES,62920,9680,14520,38720,Accura,MDX,0,13
508,83,24,IN,500/1000,1000,1070.63,0,FEMALE,High School,machine-op-inspct,board-games,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,0,3,NO,0,1,NO,61600,6160,12320,43120,Honda,CRV,0,15
509,126,30,IL,500/1000,2000,916.13,0,MALE,College,sales,golf,unmarried,55300,-58400,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,16,3,YES,2,0,NO,74160,6180,12360,55620,Mercedes,E400,0,16
510,209,38,OH,250/500,500,1191.5,0,MALE,High School,priv-house-serv,reading,husband,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,8,1,NO,2,0,NO,80100,8900,8900,62300,Audi,A3,0,3
511,283,48,OH,500/1000,1000,1474.66,0,FEMALE,JD,sales,paintball,husband,0,-46200,Parked Car,Rear Collision,Trivial Damage,Police,NY,Hillsdale,9,1,NO,2,3,NO,6560,820,820,4920,Volkswagen,Jetta,0,15
512,194,34,IL,250/500,1000,1193.45,0,MALE,JD,other-service,hiking,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,11,1,NO,2,1,YES,58800,11760,5880,41160,Nissan,Pathfinder,0,21
513,184,38,IL,250/500,1000,1437.53,0,FEMALE,College,transport-moving,chess,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,6,3,NO,0,2,NO,53730,11940,5970,35820,Dodge,RAM,1,5
514,479,60,IL,100/300,2000,1304.83,0,FEMALE,College,other-service,cross-fit,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,18,1,NO,0,0,NO,60600,5050,10100,45450,Honda,Civic,0,17
515,284,48,OH,250/500,1000,1168.8,0,FEMALE,JD,tech-support,movies,other-relative,0,-42400,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,11,1,NO,0,3,YES,35750,6500,3250,26000,Mercedes,E400,0,17
516,65,27,IN,100/300,1000,1164.97,0,FEMALE,College,adm-clerical,exercise,wife,43000,-42500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,17,1,NO,1,2,YES,42840,3570,7140,32130,Chevrolet,Silverado,0,14
517,222,39,IL,250/500,1000,1232.72,0,MALE,High School,armed-forces,hiking,own-child,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,NO,1,0,NO,87960,14660,14660,58640,Jeep,Wrangler,1,19
518,196,41,IL,250/500,2000,1800.76,0,MALE,JD,protective-serv,camping,other-relative,0,-78600,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,0,3,NO,1,0,NO,47800,4780,4780,38240,Jeep,Grand Cherokee,0,9
519,253,43,IL,500/1000,500,1187.01,7000000,FEMALE,Associate,tech-support,exercise,unmarried,46300,-33000,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Northbrook,9,1,NO,0,1,NO,3840,640,640,2560,Chevrolet,Tahoe,0,4
520,280,43,IN,100/300,1000,1559.34,0,MALE,JD,transport-moving,hiking,own-child,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1,1,NO,0,2,NO,77000,14000,7000,56000,Accura,RSX,0,14
521,5,26,IL,250/500,2000,1137.02,0,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,22,1,YES,1,3,NO,88110,16020,16020,56070,Audi,A5,0,15
522,220,42,IN,100/300,1000,1281.72,0,MALE,College,farming-fishing,hiking,other-relative,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,20,4,NO,0,2,YES,47740,4340,4340,39060,Honda,Civic,0,13
523,85,30,OH,100/300,1000,796.35,0,FEMALE,MD,craft-repair,video-games,own-child,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,9,3,YES,2,1,YES,58960,5360,10720,42880,Ford,F150,0,14
524,266,46,OH,250/500,500,1270.02,0,FEMALE,Associate,tech-support,skydiving,own-child,0,-45800,Parked Car,Rear Collision,Minor Damage,Police,NC,Northbrook,5,1,NO,1,2,NO,2160,480,240,1440,Toyota,Corolla,0,14
525,41,26,IL,100/300,1000,1383.13,0,FEMALE,JD,prof-specialty,exercise,own-child,46700,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,SC,Riverwood,12,1,YES,1,1,NO,6890,530,1060,5300,Jeep,Grand Cherokee,0,21
526,316,45,IL,100/300,2000,1290.74,5000000,FEMALE,High School,prof-specialty,kayaking,husband,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,6,3,NO,2,0,YES,78870,7170,14340,57360,Suburu,Legacy,0,5
527,285,47,IN,100/300,1000,1216.68,0,FEMALE,Masters,sales,basketball,other-relative,55100,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,SC,Columbus,8,1,NO,1,1,NO,2700,300,300,2100,Ford,F150,0,5
528,379,54,IL,100/300,500,1251.16,0,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,14,1,NO,0,1,NO,75960,6330,6330,63300,Jeep,Grand Cherokee,0,8
529,15,34,IN,250/500,2000,1586.41,0,FEMALE,High School,sales,video-games,other-relative,33500,-58900,Single Vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,10,1,YES,1,3,NO,75570,6870,13740,54960,BMW,X5,1,8
530,354,48,IL,500/1000,2000,1526.11,5000000,FEMALE,Masters,sales,exercise,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,12,1,NO,2,3,YES,90240,15040,15040,60160,Chevrolet,Malibu,0,23
531,342,53,IN,100/300,1000,1028.44,0,FEMALE,College,prof-specialty,dancing,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,12,1,NO,0,0,NO,80960,14720,7360,58880,Accura,MDX,0,18
532,169,38,IL,100/300,1000,1555.94,0,MALE,PhD,craft-repair,skydiving,own-child,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,12,3,NO,1,3,YES,79080,6590,13180,59310,Mercedes,C300,0,6
533,339,49,IN,500/1000,2000,1570.77,0,MALE,JD,adm-clerical,paintball,not-in-family,98800,-65300,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Columbus,13,1,NO,0,3,NO,6820,1240,620,4960,Mercedes,ML350,0,9
534,259,42,OH,100/300,2000,1170.53,0,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,17,3,NO,1,2,YES,62590,5690,11380,45520,Nissan,Pathfinder,0,12
535,65,23,OH,250/500,1000,1099.95,0,FEMALE,College,sales,dancing,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,14,1,NO,1,0,YES,52400,6550,6550,39300,Accura,MDX,1,13
536,254,46,IL,250/500,2000,1472.43,0,MALE,MD,tech-support,basketball,husband,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Arlington,3,3,NO,1,3,YES,63580,5780,11560,46240,Volkswagen,Jetta,0,14
537,440,55,IL,250/500,500,1275.62,0,FEMALE,Associate,priv-house-serv,reading,other-relative,0,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,18,3,YES,2,1,NO,61400,6140,6140,49120,Nissan,Ultima,0,23
538,478,63,IL,250/500,1000,1292.3,0,MALE,High School,adm-clerical,paintball,own-child,47600,0,Parked Car,Rear Collision,Minor Damage,None,VA,Northbend,5,1,YES,1,3,NO,4700,940,470,3290,Dodge,Neon,1,11
539,230,44,IN,250/500,2000,1009.37,0,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,19,1,NO,0,2,YES,74140,13480,13480,47180,BMW,X5,0,3
540,138,30,OH,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,reading,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,0,1,NO,2,2,NO,83160,6930,13860,62370,Volkswagen,Jetta,0,7
541,239,41,OH,250/500,1000,1325.44,7000000,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300,Parked Car,Rear Collision,Trivial Damage,Police,NC,Arlington,22,1,NO,0,2,YES,10790,1660,830,8300,Mercedes,E400,0,5
542,93,31,IL,100/300,2000,1017.18,0,FEMALE,MD,prof-specialty,paintball,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,21,3,YES,1,3,NO,48070,8740,8740,30590,Saab,92x,0,4
543,37,25,OH,100/300,1000,1221.17,0,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,4,3,YES,0,0,YES,51030,5670,11340,34020,Suburu,Impreza,0,22
544,254,40,IN,100/300,500,1927.87,0,MALE,MD,prof-specialty,yachting,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,10,1,YES,0,1,NO,43280,0,5410,37870,Honda,Civic,1,22
545,131,29,IN,250/500,1000,978.27,0,FEMALE,Associate,sales,paintball,own-child,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,5,1,NO,1,3,NO,76400,15280,7640,53480,Suburu,Forrestor,0,15
546,230,43,IN,100/300,2000,1221.14,0,MALE,MD,prof-specialty,board-games,wife,48100,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,13,1,NO,0,2,NO,75460,13720,13720,48020,Audi,A5,0,16
547,313,50,OH,100/300,2000,1255.62,0,MALE,MD,armed-forces,polo,unmarried,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,18,3,YES,2,1,YES,69000,13800,6900,48300,Ford,F150,1,23
548,210,38,IN,250/500,500,999.52,0,MALE,JD,tech-support,golf,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Springfield,6,1,NO,1,2,NO,8640,1440,720,6480,Accura,TL,0,10
549,101,29,OH,250/500,500,1380.89,0,MALE,PhD,armed-forces,dancing,own-child,30000,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,0,3,NO,2,1,NO,67210,12220,12220,42770,BMW,X6,0,22
550,153,37,IN,500/1000,500,1010.77,0,MALE,High School,transport-moving,basketball,unmarried,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Arlington,5,3,NO,0,3,NO,42500,4250,4250,34000,Volkswagen,Jetta,0,19
551,337,53,OH,100/300,500,1205.86,0,MALE,Associate,armed-forces,basketball,wife,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,8,1,YES,0,1,NO,86400,14400,7200,64800,Accura,RSX,0,17
552,360,51,IL,500/1000,1000,1526.61,0,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,Vehicle Theft,Rear Collision,Minor Damage,Police,SC,Hillsdale,5,1,YES,2,2,NO,4620,840,840,2940,Dodge,RAM,1,9
553,428,53,IL,100/300,1000,1496.44,0,FEMALE,High School,tech-support,camping,unmarried,0,0,Parked Car,Rear Collision,Trivial Damage,Police,NC,Springfield,9,1,YES,2,2,NO,6930,630,1260,5040,Honda,CRV,0,5
554,204,40,IL,100/300,500,1256.2,0,FEMALE,JD,sales,hiking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,10,3,YES,1,2,YES,41700,8340,8340,25020,Saab,95,0,5
555,364,51,IL,100/300,500,1268.35,0,MALE,Masters,transport-moving,board-games,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,16,1,YES,2,1,NO,77330,14060,14060,49210,Volkswagen,Jetta,1,4
556,185,35,IN,500/1000,2000,1421.59,0,MALE,College,other-service,sleeping,own-child,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Arlington,8,1,NO,2,3,YES,4950,900,450,3600,Ford,F150,0,7
557,63,26,IL,500/1000,500,1500.04,6000000,MALE,PhD,craft-repair,polo,own-child,0,-36500,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,Northbrook,5,1,NO,0,2,YES,5160,860,860,3440,Accura,TL,0,14
558,210,35,IL,100/300,500,1433.24,0,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,11,3,NO,2,1,NO,24570,2730,2730,19110,Saab,95,1,12
559,194,38,IN,100/300,2000,1231.25,0,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,15,3,NO,1,0,NO,53680,4880,9760,39040,Toyota,Camry,0,7
560,294,49,IN,500/1000,500,1135.43,0,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Columbus,23,3,YES,1,1,YES,42900,3900,3900,35100,Chevrolet,Malibu,0,8
561,272,41,OH,250/500,2000,945.73,5000000,MALE,MD,protective-serv,chess,wife,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,23,1,NO,0,0,NO,84100,16820,8410,58870,Ford,Escape,1,9
562,27,27,IN,100/300,2000,1118.76,0,FEMALE,College,adm-clerical,dancing,own-child,0,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,23,1,NO,1,3,NO,61560,6840,6840,47880,Ford,Fusion,0,10
563,251,39,IN,500/1000,2000,1231.98,0,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,10,1,YES,0,0,NO,44240,5530,5530,33180,Dodge,RAM,0,21
564,180,33,IN,500/1000,2000,1005.47,0,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,12,4,NO,2,3,YES,57700,11540,5770,40390,Jeep,Grand Cherokee,0,16
565,392,50,OH,100/300,2000,1108.97,0,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,4,1,NO,2,2,YES,108030,16620,16620,74790,Saab,92x,0,16
566,143,30,IN,100/300,500,1392.39,5000000,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,16,1,NO,2,0,YES,54300,10860,5430,38010,Toyota,Highlander,0,8
567,371,54,IN,100/300,2000,1317.97,0,MALE,High School,craft-repair,movies,wife,34700,-81000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Columbus,18,3,NO,1,2,NO,32280,5380,5380,21520,Ford,Fusion,1,8
568,292,42,IN,250/500,1000,1588.22,0,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,15,3,YES,1,1,NO,84600,16920,8460,59220,Chevrolet,Malibu,0,11
569,165,35,IL,250/500,500,900.02,6000000,MALE,College,craft-repair,camping,own-child,0,-49900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,8,1,NO,1,3,YES,69700,6970,6970,55760,BMW,3 Series,0,10
570,158,33,OH,100/300,1000,1744.64,3000000,MALE,JD,prof-specialty,movies,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,4,3,NO,0,1,NO,36400,3640,7280,25480,Volkswagen,Jetta,0,20
571,241,39,OH,250/500,1000,1260.56,0,FEMALE,JD,adm-clerical,paintball,own-child,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,20,3,NO,0,2,YES,37520,4690,4690,28140,Jeep,Wrangler,0,8
572,103,33,OH,500/1000,2000,1021.14,0,FEMALE,Masters,other-service,paintball,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,1,3,NO,2,3,NO,79090,14380,14380,50330,Dodge,RAM,0,4
573,402,54,OH,250/500,2000,1285.09,0,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,19,1,NO,0,2,YES,67770,7530,15060,45180,Mercedes,ML350,1,5
574,102,32,OH,100/300,500,1537.07,3000000,MALE,JD,tech-support,chess,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,11,1,NO,1,0,NO,47400,9480,4740,33180,Chevrolet,Silverado,1,14
575,182,40,IN,100/300,1000,1022.42,0,MALE,PhD,other-service,skydiving,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,13,1,YES,0,2,NO,71100,7110,14220,49770,Audi,A3,0,10
576,282,46,OH,100/300,2000,1558.86,0,MALE,MD,other-service,dancing,wife,51100,-75100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,2,1,NO,2,2,NO,69400,13880,6940,48580,BMW,M5,0,6
577,222,39,OH,500/1000,500,1757.87,0,MALE,High School,transport-moving,board-games,not-in-family,71400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,9,3,YES,2,1,NO,55000,5000,10000,40000,Saab,93,1,22
578,415,52,IN,250/500,1000,973.5,0,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,15,2,YES,1,3,YES,51090,7860,7860,35370,Toyota,Highlander,0,15
579,51,34,OH,500/1000,500,1430.8,0,MALE,PhD,machine-op-inspct,camping,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,NO,2,3,NO,64200,6420,19260,38520,Honda,Civic,1,11
580,255,45,IL,500/1000,500,1192.27,0,MALE,High School,sales,base-jumping,own-child,0,-40200,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,16,1,NO,2,0,YES,67320,12240,12240,42840,Ford,Fusion,0,12
581,143,31,IL,250/500,500,1163.83,0,MALE,Associate,protective-serv,movies,husband,37700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,21,4,YES,2,0,NO,76120,6920,13840,55360,Audi,A5,0,19
582,130,28,OH,500/1000,1000,1003.15,0,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Hillsdale,21,2,YES,2,1,NO,85020,13080,13080,58860,Ford,Fusion,0,8
583,242,41,OH,250/500,2000,1153.54,6000000,MALE,Masters,protective-serv,polo,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,3,3,NO,0,1,NO,68090,12380,12380,43330,Toyota,Corolla,0,9
584,96,27,IL,100/300,1000,1631.1,0,FEMALE,High School,priv-house-serv,exercise,wife,0,0,Parked Car,Rear Collision,Trivial Damage,Police,WV,Arlington,4,1,NO,1,2,NO,6030,670,670,4690,Nissan,Pathfinder,0,11
585,180,35,IL,500/1000,1000,1252.48,0,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,Vehicle Theft,Rear Collision,Minor Damage,None,OH,Springfield,17,1,NO,1,3,NO,5100,1020,510,3570,Chevrolet,Malibu,0,18
586,150,30,IN,100/300,1000,1677.26,0,MALE,College,sales,yachting,own-child,40100,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Springfield,7,1,YES,1,3,YES,4590,510,510,3570,Volkswagen,Jetta,0,5
587,463,59,IL,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,14,2,NO,1,2,NO,72400,7240,14480,50680,Chevrolet,Tahoe,1,19
588,472,64,IN,250/500,500,989.24,0,MALE,Masters,other-service,skydiving,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,1,NO,2,3,NO,70900,14180,7090,49630,Mercedes,ML350,0,16
589,75,25,IL,500/1000,1000,1389.86,0,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,23,2,NO,2,3,YES,65100,6510,6510,52080,Saab,93,0,7
590,193,40,OH,100/300,500,1233.85,0,FEMALE,College,handlers-cleaners,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,23,3,NO,2,1,YES,64260,0,14280,49980,Ford,Escape,0,19
591,43,43,IL,500/1000,500,1320.39,0,FEMALE,Associate,armed-forces,yachting,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,16,1,NO,2,1,NO,79970,7270,21810,50890,Honda,CRV,1,22
592,253,41,IN,100/300,1000,1435.09,0,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,17,1,NO,2,0,NO,56610,6290,6290,44030,Chevrolet,Tahoe,0,23
593,152,30,IN,500/1000,500,1448.54,0,FEMALE,JD,craft-repair,polo,wife,58600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,9,1,YES,1,1,NO,84590,7690,7690,69210,Toyota,Highlander,1,18
594,160,38,OH,250/500,500,1733.56,0,MALE,High School,sales,sleeping,wife,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,13,3,NO,2,1,YES,66780,7420,14840,44520,Mercedes,ML350,0,22
595,56,36,IN,100/300,500,1533.07,0,MALE,JD,farming-fishing,exercise,own-child,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Springfield,13,1,YES,1,2,YES,58500,0,6500,52000,Ford,Escape,0,17
596,286,41,IL,100/300,500,1106.77,0,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500,Parked Car,Rear Collision,Trivial Damage,Police,WV,Columbus,3,1,NO,2,0,NO,5000,500,500,4000,Dodge,RAM,0,15
597,3,29,IL,100/300,500,995.7,5000000,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,Parked Car,Rear Collision,Trivial Damage,Police,PA,Springfield,3,1,NO,2,1,NO,5000,500,1000,3500,Mercedes,E400,1,10
598,286,41,IL,250/500,1000,1298.85,6000000,FEMALE,High School,sales,camping,other-relative,71300,-70300,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,16,3,NO,1,3,YES,54450,6050,12100,36300,Saab,92x,0,11
599,239,38,OH,250/500,1000,1276.73,5000000,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,12,3,NO,1,3,NO,61920,6880,6880,48160,Saab,93,0,15
600,64,29,OH,250/500,2000,1202.28,0,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Hillsdale,4,1,NO,1,2,NO,43700,4370,4370,34960,Nissan,Pathfinder,1,11
601,98,31,IN,100/300,500,671.92,0,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,3,1,NO,2,0,NO,64080,7120,7120,49840,Ford,Escape,0,21
602,16,35,IL,250/500,1000,1358.03,0,MALE,JD,sales,chess,own-child,59300,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,0,1,NO,2,1,NO,55000,10000,10000,35000,Volkswagen,Jetta,1,10
603,70,27,IN,250/500,1000,1008.79,4000000,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Columbus,19,1,NO,2,3,NO,4400,0,550,3850,Toyota,Camry,0,18
